iter	RMSE
0	0.3893971865
1	0.3769587447
2	0.3646434758
3	0.3529974214
4	0.3417028919
5	0.3313476176
6	0.3211624278
7	0.3115865099
8	0.3017861758
9	0.2928986442
10	0.2837728845
11	0.2752395192
12	0.2671322721
13	0.258778283
14	0.2511444118
15	0.2432076407
16	0.2360006328
17	0.2297588286
18	0.2231080015
19	0.2165202117
20	0.2103914932
21	0.2042692113
22	0.1982790977
23	0.1928482107
24	0.1875223083
25	0.1823690048
26	0.1774576192
27	0.1729483956
28	0.1683106288
29	0.1642647061
30	0.1600332368
31	0.155929256
32	0.1522337349
33	0.1482407436
34	0.1445293918
35	0.1412958766
36	0.1377167732
37	0.1344051234
38	0.1313788232
39	0.1283190784
40	0.1256692239
41	0.1231798721
42	0.1204325566
43	0.1178677453
44	0.1153275271
45	0.1132380568
46	0.1107891633
47	0.1085119159
48	0.1063130699
49	0.1041196113
50	0.102095837
51	0.1001527286
52	0.09840130304
53	0.09658724836
54	0.09495205956
55	0.09331759893
56	0.09188223632
57	0.09044928871
58	0.08915063026
59	0.08788265707
60	0.08649582333
61	0.08531575857
62	0.08416533271
63	0.08305340508
64	0.08193174736
65	0.08085664177
66	0.07991754365
67	0.07905738957
68	0.07806086679
69	0.07705698123
70	0.07618249926
71	0.07539359904
72	0.07463021038
73	0.07377593401
74	0.07304009054
75	0.07227985014
76	0.07143055376
77	0.07078309879
78	0.07014423128
79	0.06943142917
80	0.06878860046
81	0.06816586147
82	0.06765579906
83	0.06714302859
84	0.06646381322
85	0.06586427383
86	0.06527192233
87	0.06479174174
88	0.06422031105
89	0.06379901089
90	0.06341227975
91	0.06292437187
92	0.06246510528
93	0.06201124667
94	0.0615585455
95	0.06115383702
96	0.06069406832
97	0.0603069515
98	0.05997780534
99	0.05960574901
100	0.05930419396
101	0.05895977579
102	0.05868076994
103	0.05834624134
104	0.05809565722
105	0.05781432706
106	0.05757134798
107	0.05737729628
108	0.05713026035
109	0.05679649853
110	0.05659438204
111	0.05634762705
112	0.05597264977
113	0.0558008022
114	0.05552419635
115	0.0553413575
116	0.05515408523
117	0.05503102069
118	0.05481308946
119	0.05459954484
120	0.05445530226
121	0.05422794246
122	0.05407934955
123	0.05392354488
124	0.05371284738
125	0.05355730884
126	0.05342867971
127	0.05327589949
128	0.05311074811
129	0.05295278343
130	0.05279578418
131	0.0526878848
132	0.05256227103
133	0.05239159997
134	0.05226861644
135	0.05211067756
136	0.05203175091
137	0.05193380247
138	0.05184015391
139	0.05173460048
140	0.05160829226
141	0.05143367383
142	0.05132091229
143	0.05117623927
144	0.05107790194
145	0.05099353844
146	0.050847708
147	0.05073789085
148	0.05065608601
149	0.05057705447
150	0.05046851608
151	0.05037897372
152	0.05020027544
153	0.05006933853
154	0.04993083514
155	0.04981989186
156	0.04969476865
157	0.04955638777
158	0.04952922747
159	0.0494357769
160	0.04928207897
161	0.04919526001
162	0.04913385393
163	0.04901705726
164	0.0488627995
165	0.04881848967
166	0.04866627491
167	0.04850989234
168	0.04834266069
169	0.04825600647
170	0.0482031915
171	0.04813783572
172	0.04793894084
173	0.04785659658
174	0.04779531886
175	0.04777983697
176	0.04771436327
177	0.04761192088
178	0.04749566654
179	0.04739404327
180	0.04727720637
181	0.04722681071
182	0.04713320768
183	0.04701798421
184	0.04697404239
185	0.0468950484
186	0.04675768202
187	0.04669100269
188	0.04664954701
189	0.04655354366
190	0.0464613303
191	0.04643726352
192	0.04630211462
193	0.04619676913
194	0.046043766
195	0.04598148254
196	0.04593049031
197	0.04589980935
198	0.04586080531
199	0.04582994898
200	0.04577499888
201	0.04570448587
202	0.04564588657
203	0.04555716349
204	0.04546366718
205	0.04543064071
206	0.04531179071
207	0.04528973266
208	0.04520061581
209	0.04509305541
210	0.04501330609
211	0.04497338144
212	0.04493748364
213	0.04480569269
214	0.04476131061
